,PPC - Quarterly volume (mn kWh),QTP - Quarterly volume (mn kWh),HND - Quarterly volume (mn kWh)
4Q2017,1085,1500,1214
1Q2018,1303,1943,1900
2Q2018,1590,1834,1794
3Q2018,870,1084,1103
4Q2018,1327,1562,1529
1Q2019,1121,1756,1665
2Q2019,1558,1735,2081
3Q2019,1391,1560,1551
4Q2019,1418,1840,2078
1Q2020,1588,1967,2057
2Q2020,1581,1735,1928
3Q2020,1097,1183,1389
4Q2020,972,1005,1245
1Q2021,782,1500,1450
2Q2021,850,1600,1899
3Q2021,711,1550,1681
4Q2021,340,1800,1622
1Q2022,718,1891,1714
2Q2022,742,1515,1569
3Q2022,588,1719,1544
4Q2022,829,1300,1270
1Q2023,708,1657,1132
2Q2023,704,2099,1873
3Q2023,763,1551,1683
4Q2023,976,1777,2035
1Q2024,1125,1796,1651
2Q2024,1287,2024,1887
3Q2024,779,1300,1247
4Q2024,948,1610,1785
1Q2025,855,1796,1600
2Q2025,1116,1986,1700
3Q2025,870,1178,1231
