Date,Solar Volume (mn kWh),Wind Volume (mn kWh),Hydro Volume (mn kWh),Solar Revenue (VNDbn),Wind Revenue (VNDbn),Hydro Revenue (VNDbn),Solar ASP (VND/kWh),Wind ASP (VND/kWh),Hydro ASP (VND/kWh)
1Q2023,44,40,243,97,81,378,2210,2007,1553
2Q2023,49,18,191,107,36,225,2179,1983,1181
3Q2023,44,21,258,91,45,228,2068,2143,884
4Q2023,33,33,339,74,66,506,2242,2000,1493
1Q2024,49,29,170,108,60,245,2204,2069,1441
2Q2024,50,17,82,115,34,205,2300,2000,2500
3Q2024,43,22,325,99,46,291,2302,2091,895
4Q2024,33,38,486,76,79,539,2303,2079,1109
1Q2025,42,43,235,97,91,326,2310,2116,1387
2Q2025,48,22,242,113,46,318,2354,2091,1314
3Q2025,,,,,,,,,
4Q2025,,,,,,,,,
1Q2026,,,,,,,,,
2Q2026,,,,,,,,,
3Q2026,,,,,,,,,
4Q2026,,,,,,,,,
