Date,Wind Volume (mn kWh),Hydro Volume (mn kWh),Wind Revenue (VNDbn),Hydro Revenue (VNDbn),Wind ASP (VND/kWh),Hydro ASP (VND/kWh)
1Q2023,142,40,285,105,2007,2625
2Q2023,75,59,151,119,2013,2017
3Q2023,92,232,188,193,2043,832
4Q2023,141,71,287,124,2035,1746
1Q2024,126,37,242,99,1921,2676
2Q2024,80,147,224,299,2800,2034
3Q2024,85,325,117,197,1376,606
4Q2024,157,127,338,182,2153,1433
1Q2025,147,44,288,120,1953,2721
2Q2025,80,112,193,186,2410,1663
3Q2025,91,335,195,284,2143,848
4Q2025,,,,,,
1Q2026,,,,,,
2Q2026,,,,,,
3Q2026,,,,,,
4Q2026,,,,,,
