Date,Ca Mau Mobilized (mn kWh),Nhon Trach 1 Mobilized (mn kWh),Nhon Trach 2 (NT2) Mobilized (mn kWh),Hua Na Mobilized (mn kWh),Dak Drinh Mobilized (mn kWh),Vung Ang Mobilized (mn kWh),POW Mobilized (mn kWh),Ca Mau Contracted (mn kWh),Nhon Trach 1 Contracted (mn kWh),Nhon Trach 2 (NT2) Contracted (mn kWh),Hua Na Contracted (mn kWh),Dak Drinh Contracted (mn kWh),Vung Ang Contracted (mn kWh),POW Contracted (mw kWh),Ca Mau Revenue (VNDbn),Nhon Trach 1 Revenue (VNDbn),Nhon Trach 2 (NT2) Revenue (VNDbn),Hua Na Revenue (VNDbn),Dak Drinh Revenue (VNDbn),Vung Ang Revenue (VNDbn),Ca Mau ASP (VND/kWh),Nhon Trach 1 ASP (VND/kWh),Nhon Trach 2 (NT2) ASP (VND/kWh),Hua Na ASP (VND/kWh),Dak Drinh ASP (VND/kWh),Vung Ang ASP (VND/kWh)
31/1/2018,623,263,519,44,89,474,2012,0,162,370,28,36,479,1075,,,,,,,,,,,,
28/2/2018,472,244,327,27,35,444,1549,0,134,241,28,19,340,762,,,,,,,,,,,,
31/3/2018,639,323,485,69,58,590,2164,0,253,404,33,27,535,1253,,,,,,,,,,,,
30/4/2018,713,308,461,30,33,461,2007,0,249,422,42,27,353,1091,,,,,,,,,,,,
31/5/2018,648,245,399,47,50,647,2036,0,252,420,45,29,525,1271,,,,,,,,,,,,
30/6/2018,648,288,403,55,35,523,1952,0,210,324,42,27,516,1119,,,,,,,,,,,,
31/7/2018,644,272,280,81,24,346,1648,0,192,245,41,32,395,906,,,,,,,,,,,,
31/8/2018,463,204,329,137,6,244,1384,0,169,294,55,28,191,737,,,,,,,,,,,,
30/9/2018,337,127,316,132,59,231,1204,0,180,290,72,27,200,769,,,,,,,,,,,,
31/10/2018,568,113,327,85,34,308,1434,0,208,286,59,43,303,899,,,,,,,,,,,,
30/11/2018,665,240,435,58,0,204,1602,0,211,371,40,69,454,1146,,,,,,,,,,,,
31/12/2018,719,306,468,40,0,406,1939,0,229,358,30,68,594,1279,,,,,,,,,,,,
31/1/2019,682,304,434,45,53,391,1911,0,171,294,30,13,486,996,,,,,,,,,,,,
28/2/2019,559,222,295,41,38,394,1548,0,127,210,25,13,428,804,,,,,,,,,,,,
31/3/2019,688,325,499,44,36,449,2042,0,215,349,35,18,493,1110,,,,,,,,,,,,
30/4/2019,696,295,423,51,46,401,1912,0,193,319,41,27,479,1060,,,,,,,,,,,,
31/5/2019,767,295,418,37,31,584,2132,0,215,373,39,26,499,1152,,,,,,,,,,,,
30/6/2019,743,270,492,19,34,414,1972,0,211,361,38,18,488,1116,,,,,,,,,,,,
31/7/2019,686,218,449,24,20,361,1758,0,190,323,35,16,483,1046,,,,,,,,,,,,
31/8/2019,626,222,406,109,39,436,1839,0,158,282,54,23,484,1000,,,,,,,,,,,,
30/9/2019,276,266,272,106,28,388,1336,0,197,242,72,20,301,833,,,,,,,,,,,,
31/10/2019,671,317,483,49,31,616,2166,0,204,334,57,45,479,1120,,,,,,,,,,,,
30/11/2019,597,269,383,16,73,675,2013,0,222,367,41,64,509,1202,,,,,,,,,,,,
31/12/2019,567,252,398,17,4,662,1899,0,198,332,32,66,527,1156,,,,,,,,,,,,
31/1/2020,470,52,315,19,0,514,1370,0,6,226,35,24,310,602,812,53,496,19,-5,715,1730,1025,1571,1004,,1392
29/2/2020,588,165,427,18,22,584,1805,0,17,334,32,27,615,1024,995,192,621,16,21,870,1693,1164,1453,887,945,1490
31/3/2020,745,122,428,14,31,752,2092,0,37,371,35,24,647,1114,889,290,630,15,34,1114,1193,2374,1472,1071,1102,1482
30/4/2020,579,24,412,26,16,679,1734,0,14,354,37,24,628,1056,753,67,588,34,4,1064,1301,2820,1428,1339,246,1568
31/5/2020,666,99,411,45,42,780,2044,0,89,370,38,23,635,1156,613,151,605,70,77,1166,920,1524,1471,1550,1833,1494
30/6/2020,636,37,418,20,33,714,1858,0,27,357,45,22,552,1003,748,53,656,10,33,1055,1176,1434,1570,525,996,1476
31/7/2020,634,173,416,25,31,569,1848,0,157,347,40,26,415,985,956,271,621,36,33,793,1509,1571,1491,1447,1060,1393
31/8/2020,386,18,327,86,36,352,1204,0,28,352,54,25,315,774,696,21,490,85,54,536,1806,1191,1499,986,1483,1521
30/9/2020,463,194,29,67,56,343,1151,0,265,29,83,18,276,671,638,301,53,78,85,518,1378,1556,1807,1169,1523,1511
31/10/2020,441,49,125,80,60,248,1004,0,65,292,68,36,533,995,695,84,297,75,51,650,1575,1720,2366,935,842,2622
30/11/2020,455,70,261,104,87,429,1407,0,70,343,44,79,501,1037,772,101,428,99,77,843,1696,1440,1636,956,885,1967
31/12/2020,440,145,333,63,92,578,1650,0,170,351,36,82,537,1177,732,286,611,72,87,2015,1665,1976,1834,1150,951,3489
31/1/2021,579,5,281,33,81,675,1655,0,4,271,30,42,626,973,892,11,471,37,68,1019,1540,2188,1675,1102,834,1509
28/2/2021,376,0,228,44,44,550,1242,0,3,245,33,19,564,864,709,3,401,60,65,873,1886,,1758,1354,1467,1587
31/3/2021,521,5,445,46,42,684,1742,0,5,271,31,27,626,959,898,11,671,56,50,1049,1725,2057,1507,1226,1195,1535
30/4/2021,504,106,401,22,35,698,1765,0,83,262,25,28,605,1004,939,179,631,28,39,1055,1863,1680,1576,1284,1120,1513
31/5/2021,459,50,264,13,27,674,1487,0,54,270,20,30,506,880,872,98,543,22,33,968,1898,1964,2061,1674,1251,1437
30/6/2021,493,24,272,75,40,677,1581,0,21,262,43,27,385,736,986,48,474,95,43,992,2000,1983,1741,1264,1063,1465
31/7/2021,325,125,230,57,28,571,1336,0,240,328,43,27,366,1005,578,328,495,69,26,807,1777,2624,2152,1205,914,1413
31/8/2021,232,111,155,51,23,393,964,0,312,315,63,25,230,944,575,394,508,73,31,556,2477,3555,3276,1449,1361,1415
30/9/2021,188,1,76,53,52,34,403,0,5,262,73,25,211,575,312,35,268,53,92,127,1661,27154,3543,1009,1765,3757
31/10/2021,146,4,259,70,70,47,596,0,5,270,59,41,324,698,273,14,499,76,69,83,1867,3590,1927,1098,986,1746
30/11/2021,233,5,266,57,89,204,854,0,5,262,30,79,376,752,432,15,514,61,81,333,1854,3222,1929,1063,910,1632
31/12/2021,277,9,297,43,91,347,1064,0,5,271,29,77,478,860,200,15,514,61,81,333,722,1611,1731,1419,890,960
31/1/2022,208,178,351,43,85,327,1192,229,214,374,39,45,236,1137,397,396,741,45,93,482,1909,2225,2111,1059,1094,1474
28/2/2022,311,177,155,45,47,154,889,245,128,18,31,25,214,661,568,340,249,70,64,269,1826,1917,1609,1556,1362,1747
31/3/2022,417,213,489,55,58,340,1572,513,0,371,27,26,282,1219,973,394,979,104,83,870,2333,1852,2001,1891,1422,2559
30/4/2022,335,226,448,46,61,294,1410,513,61,379,29,23,276,1281,730,468,915,67,99,545,2179,2069,2042,1457,1621,1854
31/5/2022,396,8,381,29,39,278,1131,378,0,390,30,24,289,1111,865,20,873,32,43,598,2184,2378,2291,1103,1110,2155
30/6/2022,196,21,352,73,58,254,954,506,0,376,37,29,256,1204,447,46,834,83,60,609,2278,2126,2367,1145,1028,2404
31/7/2022,228,2,359,83,54,253,979,346,0,389,54,27,201,1017,600,49,842,116,69,534,2630,27167,2345,1393,1274,2110
31/8/2022,145,89,367,92,41,233,967,161,0,380,65,25,233,864,296,147,790,116,36,482,2041,1652,2153,1261,878,2069
30/9/2022,248,74,171,131,75,306,1005,379,53,35,72,26,246,811,460,155,318,186,78,625,1853,2095,1862,1421,1033,2042
31/10/2022,349,41,230,124,85,175,1003,373,20,31,58,40,481,1003,639,83,416,173,86,461,1831,2054,1811,1396,1016,2642
30/11/2022,473,129,391,70,83,304,1449,424,0,338,30,78,475,1345,906,230,800,113,80,628,1917,1780,2048,1605,973,2068
31/12/2022,494,245,371,39,91,402,1641,515,264,390,29,77,489,1764,273,482,730,50,26,162,553,1972,1966,1295,288,403
31/1/2023,438,60,305,38,81,188,1109,472,20,305,24,76,170,1068,783,115,662,49,67,375,1790,1928,2172,1299,822,1998
28/2/2023,443,189,355,70,55,353,1465,303,19,346,55,41,268,1031,794,370,707,85,61,757,1791,1960,1990,1215,1116,2145
31/3/2023,522,14,415,18,68,392,1429,462,24,389,13,16,388,1291,964,32,814,62,93,678,1845,2298,1963,3467,1375,1729
30/4/2023,513,36,358,29,39,393,1368,460,24,378,39,32,383,1315,942,79,718,27,41,762,1838,2179,2004,901,1067,1939
31/5/2023,606,191,337,29,31,403,1596,288,19,353,18,37,393,1107,1233,525,728,41,18,759,2036,2752,2164,1411,595,1881
30/6/2023,577,0,359,23,38,377,1374,476,26,359,32,37,367,1296,845,82,737,22,31,679,1465,,2052,978,828,1800
31/7/2023,463,25,341,39,39,358,1265,422,25,366,75,37,348,1275,834,53,693,27,32,662,1800,2146,2035,675,814,1847
31/8/2023,178,20,19,58,41,295,611,320,25,45,101,34,340,864,482,54,79,84,40,569,2704,2665,4057,1446,985,1932
30/9/2023,374,28,5,95,50,377,928,398,207,20,107,41,508,1281,762,297,35,111,53,802,2040,10472,7080,1166,1070,2129
31/10/2023,499,112,10,107,40,365,1133,446,170,10,115,57,452,1250,960,326,18,106,39,725,1925,2915,1827,986,978,1988
30/11/2023,367,38,219,57,55,441,1178,231,23,381,63,57,512,1267,1165,162,735,112,152,1078,3177,4216,3351,1972,2776,2442
31/12/2023,298,0,173,25,92,394,983,626,20,370,45,58,713,1831,438,150,385,100,50,728,1470,750000,2224,3937,543,1846
31/1/2024,485,3,18,32,68,625,1232,444,0,0,22,61,283,809,835,7,28,44,58,999,1721,2121,1515,1380,859,1598
29/2/2024,477,0,8,20,37,371,912,333,0,0,14,29,360,736,839,0,14,27,37,645,1758,,1722,1356,1014,1739
31/3/2024,508,0,125,23,30,713,1399,392,0,1,14,28,403,838,1025,0,220,44,44,1288,2015,,1757,1947,1470,1808
30/4/2024,612,9,393,24,39,636,1712,405,,254,19,27,392,1097,1194,15,787,28,44,1172,1950,1800,2005,1171,1134,1843
31/5/2024,582,75,345,22,31,711,1766,397,0,226,24,27,432,1106,1160,157,676,21,29,1277,1993,2104,1961,920,923,1796
30/6/2024,445,20,289,36,50,508,1347,371,0,311,33,38,520,1273,921,46,703,12,27,980,2069,2374,2432,344,544,1931
31/7/2024,541,0,167,54,48,231,1042,470,0,146,38,52,413,1120,1012,1,350,63,39,600,1870,,2093,1154,805,2599
31/8/2024,279,13,309,88,53,224,966,244,0,327,51,52,22,697,560,25,702,111,42,356,2006,1968,2272,1256,795,1589
30/9/2024,259,121,297,95,35,260,1067,248,139,297,73,17,249,1023,521,306,669,109,44,518,2009,2521,2256,1139,1270,1991
31/10/2024,486,8,164,134,63,420,1275,423,0,0,114,81,412,1030,850,18,358,142,42,784,1750,2146,2187,1057,667,1869
30/11/2024,588,3,261,56,67,622,1597,455,0,166,52,75,429,1176,1087,6,521,58,41,1131,1850,2370,1997,1025,618,1817
31/12/2024,682,400,439,35,55,723,2334,460,51,493,19,29,481,1533,1000,20,400,100,40,1000,1466,50,911,2857,727,1383
31/1/2025,415,28,135,40,74,447,1139,346,28,152,21,48,453,1047,744,58,319,48,67,851,1792,2086,2364,1199,896,1904
28/2/2025,494,0,161,39,55,541,1290,432,30,144,24,36,468,1135,943,27,348,49,55,944,1911,,2154,1275,989,1745
31/3/2025,600,150,300,27,30,700,1807,467,121,332,20,33,547,1520,1011,399,611,40,30,1249,1685,2657,2036,1517,983,1784
30/4/2025,471,121,259,50,52,775,1728,447,127,312,40,37,574,1536,902,291,644,62,56,1346,1915,2405,2486,1240,1077,1737
31/5/2025,517,130,296,65,48,688,1744,482,132,327,34,46,588,1609,988,308,700,89,45,1253,1911,2369,2365,1369,938,1821
30/6/2025,365,43,218,72,65,545,1308,374,199,317,40,45,547,1522,638,120,784,47,37,1028,1747,2791,3605,651,568,1886
31/7/2025,503,96,306,101,43,278,1327,479,96,346,69,49,341,1379,933,225,758,101,32,614,1854,2359,2474,998,753,2211
31/8/2025,294,100,271,138,55,395,1254,313,92,278,119,71,461,1333,554,228,626,134,37,806,1884,2283,2307,970,680,2039
30/9/2025,438,90,209,133,64,390,1324,449,48,241,112,82,446,1379,866,195,623,93,87,838,1979,2172,2977,695,1359,2148
