Date,Solar Volume (mn kWh),Wind Volume (mn kWh),Hydro Volume (mn kWh),Thermal Volume (mn kWh),Solar Revenue (VNDbn),Wind Revenue (VNDbn),Hydro Revenue (VNDbn),Others Revenue (VNDbn),Solar ASP (VND/kWh),Wind ASP (VND/kWh),Hydro ASP (VND/kWh),Solar NPAT (VNDbn),Wind NPAT (VNDbn),Hydro NPAT (VNDbn),Thermal & Others NPAT (VNDbn)
1Q2021,67,22,722,858,47,46,154,125,701,2091,213,20,21,121,73
2Q2021,74,13,1086,974,62,23,631,150,838,1769,581,23,-3,128,27
3Q2021,67,14,1466,804,33,63,381,144,493,4500,260,22,12,71,6
4Q2021,51,86,2256,436,49,190,728,138,961,2209,323,3,83,329,23
1Q2022,73,125,1401,792,56,263,976,143,767,2104,697,17,34,343,14
2Q2022,73,55,1483,817,61,115,840,158,836,2091,566,16,2,307,18
3Q2022,63,60,2094,776,58,125,861,150,921,2083,411,9,-8,349,43
4Q2022,61,90,2268,963,54,193,1170,140,885,2144,516,4,51,445,18
1Q2023,74,133,1389,653,61,284,1066,139,824,2135,767,7,101,390,17
2Q2023,82,60,1178,839,70,130,746,173,854,2167,633,15,1,189,41
3Q2023,71,80,1588,862,67,174,499,155,944,2175,314,16,19,160,19
4Q2023,61,118,2018,2221,58,254,761,164,951,2153,377,1,80,297,15
1Q2024,78,144,954,1274,70,314,474,165,897,2181,497,16,147,66,29
2Q2024,80,51,1009,1446,78,112,521,200,975,2196,516,27,-9,89,-5
3Q2024,69,67,1700,858,61,147,631,169,884,2194,371,15,18,237,31
4Q2024,63,102,1766,997,62,222,824,189,984,2176,467,-22,59,354,34
1Q2025,75,134,1238,855,67,296,744,181,893,2209,601,51,111,236,19
2Q2025,77,62,1492,1117,74,140,725,206,961,2258,486,29,7,212,0
3Q2025,69,80,2149,881,72,184,809,200,1043,2300,376,21,134,311,2
4Q2025,,,,,,,,,,,,,,,
