strategy_type,period,selected_stocks,quarterly_return,selection_based_on,cumulative_return
concentrated,2018Q4,,0.0,,0.0
concentrated,2019Q1,HND,5.816292323164607,2018Q4,5.816292323164607
concentrated,2019Q2,QTP,19.102161463144274,2019Q1,26.02949133704824
concentrated,2019Q3,HND,16.79197994987469,2019Q2,47.19233825329443
concentrated,2019Q4,PPC,10.913075237399571,2019Q3,63.25554887056413
concentrated,2020Q1,HND,1.477005706612955,2019Q4,65.66684264374464
concentrated,2020Q2,PPC,18.832913518052052,2020Q1,96.86673584692846
concentrated,2020Q3,PPC,-1.45552179749876,2020Q2,94.00129759465213
concentrated,2020Q4,HND,6.385485391140433,2020Q3,106.38922211118151
concentrated,2021Q1,PPC,4.746575342465764,2020Q4,116.18564203741775
concentrated,2021Q2,QTP,-6.577551453426689,2021Q1,101.96592019748576
concentrated,2021Q3,HND,3.3461404121550853,2021Q2,108.72398347199473
concentrated,2021Q4,QTP,19.984641965828366,2021Q3,150.43672426568767
concentrated,2022Q1,QTP,-1.1920000000000042,2021Q4,147.45151851244066
concentrated,2022Q2,QTP,-9.448627641486517,2022Q1,124.07074593499607
concentrated,2022Q3,QTP,3.710658082975682,2022Q2,132.3852451806169
concentrated,2022Q4,QTP,-19.25165962582981,2022Q3,87.64722875779447
concentrated,2023Q1,PPC,11.063917952967994,2022Q4,108.408364188575
concentrated,2023Q2,PPC,13.170413207723165,2023Q1,135.85660691166686
concentrated,2023Q3,QTP,-3.5534926190838534,2023Q2,127.47545979343914
concentrated,2023Q4,PPC,10.884104443426468,2023Q3,152.23412642052162
concentrated,2024Q1,HND,6.2756962221705015,2023Q4,168.06357396331907
concentrated,2024Q2,PPC,18.67786762974013,2024Q1,218.13213347173837
concentrated,2024Q3,PPC,-23.762900238158245,2024Q2,142.53471196932472
concentrated,2024Q4,PPC,-3.2454009024644237,2024Q3,134.66348823828275
concentrated,2025Q1,PPC,4.035874439461873,2024Q4,144.13421197884122
concentrated,2025Q2,QTP,-5.003988686634275,2025Q1,131.91776363121627
concentrated,2025Q3,QTP,0.7710512252843804,2025Q2,133.7059683893469
diversified,2018Q4,,0.0,,0.0
diversified,2019Q1,"HND, PPC",20.448034044290367,2018Q4,20.448034044290363
diversified,2019Q2,"QTP, HND",22.75399535219624,2019Q1,47.854774112539936
diversified,2019Q3,"HND, PPC",2.7633739521216834,2019Q2,51.940554427334206
diversified,2019Q4,"PPC, QTP",5.900303077742419,2019Q3,60.905507636549096
diversified,2020Q1,"HND, QTP",-2.7731787157734167,2019Q4,56.44331034626515
diversified,2020Q2,"PPC, HND",25.735786343324186,2020Q1,96.70522644540354
diversified,2020Q3,"PPC, QTP",-3.7210155361861394,2020Q2,89.38579440887995
diversified,2020Q4,"HND, PPC",5.53374792967074,2020Q3,99.86592688607183
diversified,2021Q1,"PPC, HND",8.050659395116233,2020Q4,115.9564519065615
diversified,2021Q2,"QTP, HND",-5.834688343566757,2021Q1,103.35606597998903
diversified,2021Q3,"HND, QTP",10.82592053539846,2021Q2,125.3712320868951
diversified,2021Q4,"QTP, HND",10.80346063412413,2021Q3,149.71912442604335
diversified,2022Q1,"QTP, HND",-0.06387282160436603,2021Q4,149.55962177518677
diversified,2022Q2,"QTP, HND",-12.618877464286765,2022Q1,118.06799890303843
diversified,2022Q3,"QTP, PPC",0.24131013440921723,2022Q2,118.59421908429483
diversified,2022Q4,"QTP, HND",-18.221535753283618,2022Q3,78.76299529923891
diversified,2023Q1,"PPC, HND",8.605710694303514,2022Q4,94.1468215031628
diversified,2023Q2,"PPC, QTP",17.019309427369357,2023Q1,127.18926979818855
diversified,2023Q3,"QTP, HND",-5.043373737440692,2023Q2,115.73126583090341
diversified,2023Q4,"PPC, HND",6.178040886700642,2023Q3,129.0592316393335
diversified,2024Q1,"HND, QTP",7.90455094785475,2023Q4,147.16533530502923
diversified,2024Q2,"PPC, HND",12.835284179833574,2024Q1,178.88970848546828
diversified,2024Q3,"PPC, HND",-17.762197833637728,2024Q2,129.35276672662388
diversified,2024Q4,"PPC, QTP",0.5490740474435374,2024Q3,130.6120832458135
diversified,2025Q1,"PPC, QTP",2.0179372197309364,2024Q4,135.26569030682762
diversified,2025Q2,"QTP, HND",-6.4060283805059175,2025Q1,120.19450341617906
diversified,2025Q3,"QTP, HND",-0.4733753359946802,2025Q2,119.1521569457909
