strategy_type,quarter,selected_stocks,pow_weight,nt2_weight,quarterly_return,cumulative_return,decision_basis
concentrated,2019Q1,"POW, NT2",0.5,0.5,0.0,0.0,Equal (First Quarter or Missing Data)
concentrated,2019Q2,"POW, NT2",0.5,0.5,-0.3948126903913496,-0.39481269039134403,Equal (First Quarter or Missing Data)
concentrated,2019Q3,"POW, NT2",0.5,0.5,-12.622121867200857,-12.967100818663823,Equal (First Quarter or Missing Data)
concentrated,2019Q4,"POW, NT2",0.5,0.5,-10.51504019431876,-22.11864514986225,Equal (First Quarter or Missing Data)
concentrated,2020Q1,"POW, NT2",0.5,0.5,-29.584349960654666,-45.1593377228263,Equal (First Quarter or Missing Data)
concentrated,2020Q2,NT2,0.0,1.0,29.84537935994247,-28.79193402269894,NT2 Higher Volume Growth
concentrated,2020Q3,NT2,0.0,1.0,16.567432844087506,-16.99458551233607,NT2 Higher Volume Growth
concentrated,2020Q4,NT2,0.0,1.0,6.954920710340318,-11.221624749429704,NT2 Higher Volume Growth
concentrated,2021Q1,NT2,0.0,1.0,-5.819635717458905,-16.388202784891593,NT2 Higher Volume Growth
concentrated,2021Q2,POW,1.0,0.0,-8.718422674060378,-23.67783267148299,POW Higher Volume Growth
concentrated,2021Q3,POW,1.0,0.0,0.8268646641917066,-23.04675163889821,POW Higher Volume Growth
concentrated,2021Q4,NT2,0.0,1.0,27.667170953101362,-1.7559648608675094,NT2 Higher Volume Growth
concentrated,2022Q1,NT2,0.0,1.0,-7.223775892306961,-8.852893786877747,NT2 Higher Volume Growth
concentrated,2022Q2,POW,1.0,0.0,-14.195583596214512,-21.791757444891946,POW Higher Volume Growth
concentrated,2022Q3,NT2,0.0,1.0,14.720910054950354,-10.278792402797087,NT2 Higher Volume Growth
concentrated,2022Q4,POW,1.0,0.0,-13.765182186234814,-22.629080088242016,POW Higher Volume Growth
concentrated,2023Q1,POW,1.0,0.0,23.943661971830977,-4.103648560074613,POW Higher Volume Growth
concentrated,2023Q2,NT2,0.0,1.0,3.8205850148600007,-0.4398469271633454,NT2 Higher Volume Growth
concentrated,2023Q3,POW,1.0,0.0,-13.432835820895528,-13.813598832469765,POW Higher Volume Growth
concentrated,2023Q4,POW,1.0,0.0,-3.0172413793103425,-16.414050591834894,POW Higher Volume Growth
concentrated,2024Q1,POW,1.0,0.0,1.333333333333342,-15.299571266392686,POW Higher Volume Growth
concentrated,2024Q2,POW,1.0,0.0,30.701754385964918,10.70494632725869,POW Higher Volume Growth
concentrated,2024Q3,POW,1.0,0.0,-12.080536912751683,-2.668805578047728,POW Higher Volume Growth
concentrated,2024Q4,NT2,0.0,1.0,5.80479092246271,2.981066760482287,NT2 Higher Volume Growth
concentrated,2025Q1,NT2,0.0,1.0,-0.9483143835956498,2.004482492012394,NT2 Higher Volume Growth
concentrated,2025Q2,NT2,0.0,1.0,-3.508771929824561,-1.574622156830141,NT2 Higher Volume Growth
concentrated,2025Q3,POW,1.0,0.0,10.384615384615392,8.646474773037504,POW Higher Volume Growth
diversified,2019Q1,"POW, NT2",0.5,0.5,0.0,0.0,Hold
diversified,2019Q2,"POW, NT2",0.5,0.5,-0.3948126903913496,-0.39481269039134403,Equal
diversified,2019Q3,"POW, NT2",0.5,0.5,-12.622121867200857,-12.967100818663823,Equal
diversified,2019Q4,"POW, NT2",0.5,0.5,-10.51504019431876,-22.11864514986225,Equal
diversified,2020Q1,"POW, NT2",0.5,0.5,-29.584349960654666,-45.1593377228263,Equal
diversified,2020Q2,"POW, NT2",0.5,0.5,33.33167977312516,-26.88002378713771,Equal
diversified,2020Q3,"POW, NT2",0.5,0.5,11.115230525577747,-18.75256987083045,Equal
diversified,2020Q4,"POW, NT2",0.5,0.5,21.888015740257604,-0.9691195756030169,Equal
diversified,2021Q1,"POW, NT2",0.5,0.5,-4.3787570827707185,-5.305441266316501,Equal
diversified,2021Q2,"POW, NT2",0.5,0.5,-8.185862280426415,-13.05700743131334,Equal
diversified,2021Q3,"POW, NT2",0.5,0.5,3.1685083121750224,-10.302211484920775,Equal
diversified,2021Q4,NT2,0.0,1.0,27.667170953101362,14.514629004697511,NT2
diversified,2022Q1,"POW, NT2",0.5,0.5,-8.326173660439196,4.979942127158732,Equal
diversified,2022Q2,"POW, NT2",0.5,0.5,-4.101317062502085,0.6743818484927555,Equal
diversified,2022Q3,"POW, NT2",0.5,0.5,2.764866792181059,3.457894400455297,Equal
diversified,2022Q4,"POW, NT2",0.5,0.5,-4.907801177151017,-1.6196133587858985,Equal
diversified,2023Q1,POW,1.0,0.0,23.943661971830977,21.936253865166755,POW
diversified,2023Q2,NT2,0.0,1.0,3.8205850148600007,26.594932108020974,NT2
diversified,2023Q3,"POW, NT2",0.5,0.5,-13.554716904760166,9.435347445005405,Equal
diversified,2023Q4,POW,1.0,0.0,-3.0172413793103425,6.133418858302653,POW
diversified,2024Q1,"POW, NT2",0.5,0.5,2.7894522500509056,9.09395989870152,Equal
diversified,2024Q2,POW,1.0,0.0,30.701754385964918,42.58771951672393,POW
diversified,2024Q3,POW,1.0,0.0,-12.080536912751683,25.362357427455272,POW
diversified,2024Q4,NT2,0.0,1.0,5.80479092246271,32.63938017158945,NT2
diversified,2025Q1,"POW, NT2",0.5,0.5,2.8591761415355075,36.43177368373611,Equal
diversified,2025Q2,NT2,0.0,1.0,-3.508771929824561,31.6446939053594,NT2
diversified,2025Q3,"POW, NT2",0.5,0.5,15.971528471528472,52.67036367371038,Equal
