strategy_type,period,liquid_stock,illiquid_stock,quarterly_return,cumulative_return,selection_based_on
flood_capacity,2020Q2,,,0.0,0.0,N/A (baseline)
flood_capacity,2020Q3,PC1,SHP,11.080378784927214,11.080378784927225,2020Q2
flood_capacity,2020Q4,PC1,TMP,12.414392233557326,24.870332701809296,2020Q3
flood_capacity,2021Q1,HDG,VSH,9.926918554707044,37.26610892810962,2020Q4
flood_capacity,2021Q2,TTA,SHP,-2.2278878553547155,34.2079739577823,2021Q1
flood_capacity,2021Q3,GEG,TMP,13.509151375740425,52.3383323180534,2021Q2
flood_capacity,2021Q4,HDG,TMP,26.465711431463312,92.65575574885301,2021Q3
flood_capacity,2022Q1,GEG,TMP,14.755094482106623,121.0822945348128,2021Q4
flood_capacity,2022Q2,HDG,TMP,-11.749388642546355,95.10647653005864,2022Q1
flood_capacity,2022Q3,HDG,AVC,2.046554850014637,99.09943758817722,2022Q2
flood_capacity,2022Q4,DPG,SBA,-13.546261893122685,72.12890634474837,2022Q3
flood_capacity,2023Q1,HDG,AVC,-0.8627774245390851,70.64381699969987,2022Q4
flood_capacity,2023Q2,DPG,DRL,10.095676399421782,87.87146455961104,2023Q1
flood_capacity,2023Q3,GEG,S4A,4.565996786932558,96.44966959496604,2023Q2
flood_capacity,2023Q4,PC1,TMP,18.45124045367095,132.69707050237534,2023Q3
flood_capacity,2024Q1,PC1,VPD,5.962251962517156,146.57105615512313,2023Q4
flood_capacity,2024Q2,HDG,TBC,9.159790033512671,169.15644718234702,2024Q1
flood_capacity,2024Q3,HDG,NED,-0.35559376343245463,168.19934364229022,2024Q2
flood_capacity,2024Q4,TTA,AVC,15.58034167379575,209.98571774863666,2024Q3
flood_capacity,2025Q1,TTA,TBC,-6.213984327908384,190.72325382898208,2024Q4
flood_capacity,2025Q2,REE,DRL,5.2306865296964595,205.93007590570983,2025Q1
flood_capacity,2025Q3,GEG,VPD,0.4643962848297267,207.3508038123927,2025Q2
flood_level,2020Q2,,,0.0,0.0,N/A (baseline)
flood_level,2020Q3,REE,SHP,13.225247708692589,13.225247708692578,2020Q2
flood_level,2020Q4,PC1,NED,7.932963763847428,22.207365580949645,2020Q3
flood_level,2021Q1,HDG,VPD,7.33832836257482,31.175343350531982,2020Q4
flood_level,2021Q2,DPG,SBA,21.212578236935375,59.00101568633216,2021Q1
flood_level,2021Q3,GEG,DRL,10.282288029513387,75.34995808905258,2021Q2
flood_level,2021Q4,HDG,TMP,26.465711431463312,121.75757199209309,2021Q3
flood_level,2022Q1,GEG,TMP,14.755094482106623,154.47811126075203,2021Q4
flood_level,2022Q2,PC1,TMP,-10.21965606070825,128.4713235401167,2022Q1
flood_level,2022Q3,HDG,NED,-6.777476919061753,112.9867323205104,2022Q2
flood_level,2022Q4,DPG,AVC,-9.175750032689539,93.4436021599868,2022Q3
flood_level,2023Q1,HDG,VPD,7.599435900389128,108.14422470953873,2022Q4
flood_level,2023Q2,REE,AVC,20.96709919496458,151.7860307729777,2023Q1
flood_level,2023Q3,GEG,S4A,4.565996786932558,163.2825728480169,2023Q2
flood_level,2023Q4,GEG,GHC,-6.653214003214263,145.76581984326987,2023Q3
flood_level,2024Q1,PC1,NED,33.768763726342414,228.75789886625202,2023Q4
flood_level,2024Q2,HDG,HNA,12.30667132736306,269.2170529424663,2024Q1
flood_level,2024Q3,PC1,SHP,0.7124195968721936,271.84742758262234,2024Q2
flood_level,2024Q4,HDG,TBC,5.478831601177026,292.2203219531829,2024Q3
flood_level,2025Q1,REE,TBC,0.08769999467115319,292.5642991546351,2024Q4
flood_level,2025Q2,GEG,TBC,5.445091376658739,313.93978395574493,2025Q1
flood_level,2025Q3,PC1,SBA,7.105206705280254,343.3510612411911,2025Q2
