Period,VNI_Return,Equal_Return,ONI_Return,Alpha_Return,VNI_Cumulative,Equal_Cumulative,ONI_Cumulative,Alpha_Cumulative
2011-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-30,-6.199986988484807,-15.964812703174918,-15.964812703174918,-15.964812703174918,-6.19998698848481,-15.964812703174914,-15.964812703174914,-15.964812703174914
2011-09-30,-1.142090904887405,-12.083158679794993,-7.22457560859671,-7.22457560859671,-7.271268405872519,-26.11891773111321,-22.035998347259905,-22.035998347259905
2011-12-31,-17.785313376987844,-11.35235580272106,-5.779370170707637,-5.779370170707637,-23.763363910394038,-34.506161061178304,-26.541826602668365,-26.541826602668365
2012-03-31,25.45299388422699,37.17904692733055,28.12486788615272,28.12486788615272,-4.358857588966231,-10.1561759476035,-5.881812383087862,-5.881812383087862
2012-06-30,-4.2310046935582495,10.897363416679545,10.897363416679545,10.897363416679545,-8.405438813349804,-0.3655679331716897,4.374588562719353,4.374588562719353
2012-09-30,-7.055425337973819,-8.096112516935396,-8.096112516935396,-8.096112516935396,-14.867824691518663,-8.432083658911665,-4.075695566406793,-4.075695566406793
2012-12-31,5.390121506992385,18.3384116332262,18.3384116332262,18.3384116332262,-10.279097000845752,8.360017763685306,13.515298236934584,13.515298236934584
2013-03-31,18.68609963019361,19.285804093323907,19.285804093323907,19.285804093323907,6.486240322685589,29.25811850508063,35.40763627086216,35.40763627086216
2013-06-30,-2.0181655262300424,15.007085487799197,15.007085487799197,15.007085487799197,4.337171730314665,48.65599484905886,55.72837600303859,55.72837600303859
2013-09-30,2.390206389125593,3.5625143851564656,3.5625143851564656,3.5625143851564656,6.8310454752456025,53.951886049954055,61.27622179991738,61.27622179991738
2013-12-31,2.435905243286029,18.51666714591292,18.51666714591292,18.51666714591292,9.433348513434382,82.45864435467917,91.13920297611232,91.13920297611232
2014-03-31,17.228464419475674,20.8268488594269,20.8268488594269,20.8268488594269,28.287034025112234,120.45903044538748,130.94747589106044,130.94747589106044
2014-06-30,-2.2719204827831074,-5.652750564891937,-5.652750564891937,-5.652750564891937,25.37245462234077,107.99703135653051,117.89259114302487,117.89259114302487
2014-09-30,3.575320429661133,26.60565927636591,26.60565927636591,26.60565927636591,29.854921605620945,163.336012824205,175.86435153098307,175.86435153098307
2014-12-31,-8.879425517702067,28.560952305688662,46.36292480937232,46.36292480937232,18.324550560579425,238.5472858506284,303.7631334071553,303.7631334071553
2015-03-31,1.0080090904092565,0.9679663166347616,1.8564062046938168,1.8564062046938168,19.51727278641596,241.82430954354368,311.25861726799207,311.25861726799207
2015-06-30,7.606190916843558,2.3746454433461865,-0.3154753446070801,-0.3154753446070801,28.60798473315546,249.94142493436897,309.9611977279396,309.9611977279396
2015-09-30,-5.127729533766123,-2.144905783757928,-1.5242240945565744,-1.5242240945565744,22.01331511721203,242.4355110711868,303.7124703738376,303.7124703738376
2015-12-31,2.913052751315215,6.423714246720202,7.230289055972783,7.230289055972783,25.567627350204877,264.4325897816957,332.9020489368746,332.9020489368746
2016-03-31,-3.075833721914223,4.990000564852845,13.774562647394871,13.774562647394871,21.70537592435969,282.6177780703101,392.5324128695405,392.5324128695405
2016-06-30,12.658137628737377,1.6006536609777022,1.6006536609777022,1.6006536609777022,37.11100991043733,288.7421635425441,400.41615096763854,400.41615096763854
2016-09-30,8.456963907253346,5.531297975971469,4.081212973219534,4.081212973219534,48.706438531433605,310.24465096632053,420.8391998410156,420.8391998410156
2016-12-31,-3.0420136205212,-0.2718397856910246,7.355264135053218,7.355264135053218,44.18276841671539,309.12944278632483,459.14829870822,459.14829870822
2017-03-31,8.639282867327447,7.425655464170172,7.425655464170172,7.425655464170172,56.63912562617909,339.5099856101166,500.6687249040614,500.6687249040614
2017-06-30,7.498165607564622,5.933912028404129,5.933912028404129,5.933912028404129,68.38418667187119,365.5901215122725,536.3118786220052,536.3118786220052
2017-09-30,3.5996239391090423,-0.2755440739396301,-0.2755440739396301,-0.2755440739396301,74.44538416498594,364.3072155235972,534.5585589486883,534.5585589486883
2017-12-31,22.35399418214365,15.980451083928406,9.204611139873604,9.204611139873604,113.44089519224502,438.5056029794956,592.9672067547007,592.9672067547007
2018-03-31,19.32658701129806,3.8274707010824094,8.726943684509484,8.726943684509484,154.69173551926775,459.116747157223,653.4420646403019,653.4420646403019
2018-06-30,-18.193893363758672,-4.358404008117478,-4.358404008117478,-4.358404008117478,108.35339275258592,434.7481804390666,620.6040154961757,620.6040154961757
2018-09-30,5.865026332771284,6.992329232647914,6.992329232647914,6.992329232647914,120.5733741027475,472.1395337809603,670.9910207233496,670.9910207233496
2018-12-31,-12.249171688967984,-0.5592128765732403,-0.37620411798776,-0.37620411798776,93.5549628087523,468.940055836091,668.0905207540725,668.0905207540725
2019-03-31,9.884150850382056,6.1704038680622455,4.871356085158098,2.9081461615823034,112.68622731117026,504.0459550483568,705.5069450763485,690.4277157508596
2019-06-30,-3.1424609486520594,7.175837382759168,7.175837382759168,8.264755884567816,106.00264567475536,547.3913104997614,763.3088135618585,755.7546369016336
2019-09-30,4.90767837968713,1.0432757854345616,1.0432757854345616,1.564102413385739,116.1125929781188,554.1453872792129,772.315505367272,769.1395158300724
2019-12-31,-3.5692783174118947,-3.953342607798136,-3.9756594145928794,0.1990175215404059,108.3989330557542,528.2847789669577,737.6352118531846,770.8692557532057
2020-03-31,-31.05755522950291,-17.383999913548337,-17.383999913548337,-15.718836020284597,43.67531932426857,419.0637535345044,592.0207073487767,633.9787454902864
2020-06-30,24.539266146438663,20.74887293541496,20.74887293541496,12.16957321949863,78.93218831999644,526.7636322091741,735.6072046033341,723.3008263382842
2020-09-30,9.707796536219426,7.609483651327944,9.927655580886857,13.225247708692589,96.30256109990668,574.4571083346004,818.5634098854298,832.1844000092353
2020-12-31,21.946288706487984,11.937765406754652,9.524907415254082,7.932963763847428,139.38368789712214,654.972215696766,906.0557242274178,906.1342506742064
2021-03-31,7.932999356808335,5.015801900071503,4.7335478376759,7.33832836257482,158.37399431830488,692.8401264366963,953.6778532073992,979.9676857570114
2021-06-30,18.2224870744645,-0.0311434500244069,-0.0311434500244069,6.782295586595919,205.4561620367357,692.5932086681461,953.3497015717676,1053.2142864447712
2021-09-30,-4.720457207766849,11.17432384479331,16.788377893317872,10.282288029513388,191.03723461930457,781.1601405765631,1130.1900300097718,1171.79110097452
2021-12-31,11.640314143927988,20.37656870042333,17.82531267166533,26.465711431463312,224.9148830047924,960.7103419818932,1349.4752493146673,1508.3796637694668
2022-03-31,-0.4091358090610453,0.6327368951305689,6.870353770064235,14.755094482106625,223.585539869451,967.4218476660784,1449.0593267521056,1745.6976027896403
2022-06-30,-19.7399725228697,-6.447643170993194,-3.2289896806108604,-10.21965606070825,159.70984321124183,898.5982957993469,1399.04036094474,1557.0736558638018
2022-09-30,-5.468436873747495,1.4010518249652728,0.836432969229728,-6.777476919061753,145.50777438032645,912.5891754467158,1411.5788287457422,1444.76587130578
2022-12-31,-11.043096518889495,-11.365801981241631,-10.31483686424228,-9.17575003268954,118.39611389412954,797.5002948819547,1255.661938486195,1303.0220163644628
2023-03-31,5.714484306268552,8.786385431628304,8.786385431628304,12.551612931394306,130.87632554810995,876.3581300402839,1374.7756215514755,1479.1239092007738
2023-06-30,5.216786895100678,9.102391437843025,9.892703884085286,8.495499111291583,142.92065144319378,965.2300688717548,1520.6708067462414,1613.2783668731186
2023-09-30,3.0325483404452847,-3.774179064168012,-10.131605919518408,-8.49316421998969,150.2873376271332,925.0263786271746,1356.4708273540325,1467.7668216290272
2023-12-31,-2.09851405796474,2.9753366485910395,1.6035244543553373,3.933431532058063,145.0350226617221,955.5243641281944,1379.8256932412062,1529.4338561401275
2024-03-31,13.643323037710298,9.55984305930148,4.902638216294451,3.8045147777519217,178.4659423589875,1056.43083679154,1452.3761932125935,1591.4259079906717
2024-06-30,-3.019258774696476,8.109687923351276,8.109687923351276,18.498241167607794,170.05833495977254,1150.2137687047336,1578.2690578785357,1904.3099516221855
2024-09-30,3.42241351620467,-7.775308363738212,-7.775308363738212,-8.604649489291386,179.30084791707304,1053.0057929820275,1447.7784634552754,1731.846105606111
2024-12-31,-1.6429336770346523,0.2637478766233401,0.2637478766233401,3.3792633055880845,174.71212022640017,1056.046821278362,1451.860696287472,1793.7490088677027
2025-03-31,3.163927438071324,2.5884454117121614,2.5884454117121614,0.8157400113021323,183.4038123739507,1085.970462180986,1492.0297632766894,1809.197077246674
2025-06-30,5.295900096414319,-0.0634885517882726,-0.0634885517882726,0.5943555342146605,198.41259514670463,1085.2175067099106,1491.0190066359469,1820.544495734354
2025-09-30,20.756938237153637,4.847337227281419,4.847337227281419,6.34152000511507,260.35391321319344,1142.6689961369168,1568.141063237734,1942.3362091384845
