Unnamed: 0,Phu My Gas Cost (USD/MMBTU),Nhon Trach Gas Cost (USD/MMBTU),coal cost for Vinh Tan (VND/ton),coal cost for Mong Duong (VND/ton)
31/1/2017,5003.281485,5845.962963,1382000,1382000
28/2/2017,5004.56975,5840.222222,1382000,1382000
31/3/2017,5025.307972,5837.666667,1382000,1382000
30/4/2017,4979.966732,5860,1382000,1382000
31/5/2017,5008.434548,5823,1382000,1382000
30/6/2017,5087.522635,5830,1382000,1382000
31/7/2017,4843.943012,5720,1382000,1382000
31/8/2017,4877.453118,5780,1382000,1382000
30/9/2017,5144.533609,6050,1382000,1382000
31/10/2017,4930.103257,5960,1382000,1382000
30/11/2017,5308.132445,6338,1382000,1382000
31/12/2017,5531.42514,6272,1382000,1382000
31/1/2018,5913.802469,6450,1382000,1382000
28/2/2018,5919.851852,6430,1382000,1382000
31/3/2018,5914.888889,6390,1382000,1382000
30/4/2018,5906.666667,6650,1382000,1382000
31/5/2018,5938,7180,1382000,1382000
30/6/2018,5900,7256,1382000,1382000
31/7/2018,5882,7400,1382000,1382000
31/8/2018,5592,7280,1382000,1382000
30/9/2018,5962,7383,1382000,1382000
31/10/2018,6207,7814,1382000,1382000
30/11/2018,5659,7124,1382000,1382000
31/12/2018,5527,6609,1382000,1382000
31/1/2019,5586,6663,1664000,1634000
28/2/2019,5482,6980,1664000,1634000
31/3/2019,5801,7000,1664000,1634000
30/4/2019,6549,6980,1664000,1634000
31/5/2019,6403,6860,1664000,1634000
30/6/2019,6182,6636,1664000,1634000
31/7/2019,5445,7000,1580000,1550000
31/8/2019,5998,6453,1580000,1550000
30/9/2019,6234,6688,1580000,1550000
31/10/2019,5743,6198,1547000,1517000
30/11/2019,5340,5793,1547000,1517000
31/12/2019,5958,6609,1547000,1517000
31/1/2020,5584,6083,1614000,1584000
29/2/2020,5491,5960,1614000,1584000
31/3/2020,5501,5979,1614000,1584000
30/4/2020,5714,6189,1600000,1570000
31/5/2020,5717,6191,1600000,1570000
30/6/2020,5625,6095,1600000,1570000
31/7/2020,5233,5700,1553000,1523000
31/8/2020,5538,6008,1553000,1523000
30/9/2020,5115,5579,1553000,1523000
31/10/2020,5135,5538,1549000,1519000
30/11/2020,5416,5894,1549000,1519000
31/12/2020,5503,6191,1549000,1519000
31/1/2021,6402,7115,1529000,1504000
28/2/2021,6605,7200,1529000,1504000
31/3/2021,6763,7273,1529000,1504000
30/4/2021,7398,7931,1529000,1504000
31/5/2021,7179,7704,1529000,1504000
30/6/2021,6909,7415,1529000,1504000
31/7/2021,7386,7913,1529000,1504000
31/8/2021,7943,8358,1529000,1504000
30/9/2021,8357,8803,1529000,1504000
31/10/2021,7856,8094,1504000,1504000
30/11/2021,7847,8393,1504000,1504000
31/12/2021,7940,8490,1504000,1504000
31/1/2022,8347,8908,1504000,1504000
28/2/2022,8739,9326,1504000,1504000
31/3/2022,9347,9899,1504000,1504000
30/4/2022,10031,10598,1504000,1504000
31/5/2022,9546,10144,1504000,1504000
30/6/2022,9175,9757,1504000,1504000
31/7/2022,8489,9136,1504000,1504000
31/8/2022,8623,9232,1504000,1504000
30/9/2022,8357,9082,1504000,1504000
31/10/2022,8389,9056,1504000,1504000
30/11/2022,7964,8634,1504000,1504000
31/12/2022,8104,8849,1504000,1504000
31/1/2023,8234,8938,1504000,1504000
28/2/2023,8167,8892,1504000,1504000
31/3/2023,8078,8820,1504000,1504000
30/4/2023,8451,9033,1504000,1504000
31/5/2023,8152,8876,2365394,2335394
30/6/2023,8184,8896,2365394,2335394
31/7/2023,8418,9124,2110189,2080189
31/8/2023,8762,9449,2110189,2080189
30/9/2023,8409,9198,2110189,2080189
31/10/2023,8502,9230,2110189,2080189
30/11/2023,8434,9188,2110189,2080189
31/12/2023,8277,9077,2110189,1981189
31/1/2024,8460,9183.5,2110189,1981189
29/2/2024,8540,9290,2327066,2297066
31/3/2024,8570,9347,2327066,2297066
30/4/2024,8900,9464,2436273,2406273
31/5/2024,9570,9542,2527273,2497273
30/6/2024,9010,9528,2527273,2497273
31/7/2024,8600,9647,2526004,2496004
31/8/2024,9630,9541,2526004,2496004
30/9/2024,8670,9590,2526004,2496004
31/10/2024,8530,9467,2300000,2270000
30/11/2024,8560,9439,2294000,2264000
31/12/2024,8680,9518.5,2294000,2264000
31/1/2025,8580,9598,2337409,2288817
28/2/2025,8620,9578,2337409,2288817
31/3/2025,9880,9484,2337409,2288817
30/4/2025,8780,9471,2178600,2130200
31/5/2025,9320,9566,2178600,2130200
30/6/2025,8580,9635,2178600,2130200
31/7/2025,8350,9297,2156545,2108090
31/8/2025,8220,9147,2156545,2108090
30/9/2025,8010,9277,2156545,2108090
